#This file was generated by RegrexTextFilter with ser7ToTime.xml. 
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
20090925, 55099, 34,  0.203
20090926, 55100, 34,  0.203
20090927, 55101, 34,  0.202
20090928, 55102, 34,  0.202
20090929, 55103, 34,  0.201
20090930, 55104, 34,  0.200
20091001, 55105, 34,  0.199
20091002, 55106, 34,  0.198
20091003, 55107, 34,  0.197
20091004, 55108, 34,  0.195
20091005, 55109, 34,  0.194
20091006, 55110, 34,  0.193
20091007, 55111, 34,  0.192
20091008, 55112, 34,  0.191
20091009, 55113, 34,  0.191
20091010, 55114, 34,  0.190
20091011, 55115, 34,  0.189
20091012, 55116, 34,  0.188
20091013, 55117, 34,  0.187
20091014, 55118, 34,  0.186
20091015, 55119, 34,  0.184
20091016, 55120, 34,  0.182
20091017, 55121, 34,  0.181
20091018, 55122, 34,  0.179
20091019, 55123, 34,  0.178
20091020, 55124, 34,  0.177
20091021, 55125, 34,  0.176
20091022, 55126, 34,  0.175
20091023, 55127, 34,  0.174
20091024, 55128, 34,  0.174
20091025, 55129, 34,  0.173
20091026, 55130, 34,  0.172
20091027, 55131, 34,  0.171
20091028, 55132, 34,  0.169
20091029, 55133, 34,  0.168
20091030, 55134, 34,  0.166
20091031, 55135, 34,  0.165
20091101, 55136, 34,  0.163
20091102, 55137, 34,  0.162
20091103, 55138, 34,  0.160
20091104, 55139, 34,  0.159
20091105, 55140, 34,  0.158
20091106, 55141, 34,  0.157
20091107, 55142, 34,  0.156
20091108, 55143, 34,  0.155
20091109, 55144, 34,  0.154
20091110, 55145, 34,  0.152
20091111, 55146, 34,  0.150
20091112, 55147, 34,  0.148
20091113, 55148, 34,  0.147
20091114, 55149, 34,  0.145
20091115, 55150, 34,  0.144
20091116, 55151, 34,  0.142
20091117, 55152, 34,  0.141
20091118, 55153, 34,  0.141
20091119, 55154, 34,  0.140
20091120, 55155, 34,  0.139
20091121, 55156, 34,  0.138
20091122, 55157, 34,  0.137
20091123, 55158, 34,  0.136
20091124, 55159, 34,  0.135
20091125, 55160, 34,  0.134
20091126, 55161, 34,  0.132
20091127, 55162, 34,  0.131
20091128, 55163, 34,  0.129
20091129, 55164, 34,  0.128
20091130, 55165, 34,  0.127
20091201, 55166, 34,  0.126
20091202, 55167, 34,  0.125
20091203, 55168, 34,  0.124
20091204, 55169, 34,  0.123
20091205, 55170, 34,  0.122
20091206, 55171, 34,  0.121
20091207, 55172, 34,  0.119
20091208, 55173, 34,  0.117
20091209, 55174, 34,  0.116
20091210, 55175, 34,  0.114
20091211, 55176, 34,  0.112
20091212, 55177, 34,  0.111
20091213, 55178, 34,  0.110
20091214, 55179, 34,  0.109
20091215, 55180, 34,  0.108
20091216, 55181, 34,  0.108
20091217, 55182, 34,  0.107
20091218, 55183, 34,  0.106
20091219, 55184, 34,  0.106
20091220, 55185, 34,  0.105
20091221, 55186, 34,  0.104
20091222, 55187, 34,  0.103
20091223, 55188, 34,  0.102
